Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,notebooks_instance,39
,,,notebooks_instance_iam,6
,,,notebooks_location,2
,,,notebooks_runtime,63
,,,notebooks_runtime_iam,6

Cloud_Asset_Inventory,3,36,cloud_asset_folder_feed,12
,,,cloud_asset_organization_feed,12
,,,cloud_asset_project_feed,12

Cloud_Bigtable,10,96,bigtable_app_profile,10
,,,bigtable_authorized_view,12
,,,bigtable_gc_policy,13
,,,bigtable_instance,21
,,,bigtable_instance_iam,8
,,,bigtable_logical_view,5
,,,bigtable_materialized_view,5
,,,bigtable_schema_bundle,6
,,,bigtable_table,10
,,,bigtable_table_iam,6

Cloud_Billing,3,38,billing_account_iam,4
,,,billing_budget,32
,,,billing_project_info,2

Cloud_Build,3,157,cloudbuild_bitbucket_server_config,13
,,,cloudbuild_trigger,136
,,,cloudbuild_worker_pool,8

Cloud_Build_v2,3,51,cloudbuildv2_connection,39
,,,cloudbuildv2_connection_iam,6
,,,cloudbuildv2_repository,6

Cloud_Composer,3,67,composer_environment,57
,,,composer_user_workloads_config_map,5
,,,composer_user_workloads_secret,5

Cloud_DNS,6,90,dns_managed_zone,29
,,,dns_managed_zone_iam,5
,,,dns_policy,11
,,,dns_record_set,30
,,,dns_response_policy,5
,,,dns_response_policy_rule,10

Cloud_Data_Fusion,2,34,data_fusion_instance,28
,,,data_fusion_instance_iam,6

Cloud_Deploy,8,205,clouddeploy_automation,39
,,,clouddeploy_custom_target_type,21
,,,clouddeploy_custom_target_type_iam,6
,,,clouddeploy_delivery_pipeline,56
,,,clouddeploy_delivery_pipeline_iam,6
,,,clouddeploy_deploy_policy,42
,,,clouddeploy_target,29
,,,clouddeploy_target_iam,6

Cloud_Deployment_Manager,1,13,deployment_manager_deployment,13

Cloud_Domains,1,45,clouddomains_registration,45

Cloud_Endpoints,3,9,endpoints_service,0
,,,endpoints_service_consumers_iam,5
,,,endpoints_service_iam,4

Cloud_Functions,2,49,cloudfunctions_function,43
,,,cloudfunctions_function_iam,6

Cloud_Functions_(2nd_gen),2,73,cloudfunctions2_function,67
,,,cloudfunctions2_function_iam,6

Cloud_Healthcare,12,98,healthcare_consent_store,5
,,,healthcare_consent_store_iam,5
,,,healthcare_dataset,5
,,,healthcare_dataset_iam,4
,,,healthcare_dicom_store,7
,,,healthcare_dicom_store_iam,4
,,,healthcare_fhir_store,24
,,,healthcare_fhir_store_iam,4
,,,healthcare_hl7_v2_store,11
,,,healthcare_hl7_v2_store_iam,4
,,,healthcare_pipeline_job,21
,,,healthcare_workspace,4

Cloud_IAM,17,191,iam_access_boundary_policy,12
,,,iam_deny_policy,14
,,,iam_folders_policy_binding,12
,,,iam_oauth_client,10
,,,iam_oauth_client_credential,6
,,,iam_organizations_policy_binding,12
,,,iam_principal_access_boundary_policy,10
,,,iam_projects_policy_binding,12
,,,iam_workforce_pool,10
,,,iam_workforce_pool_iam,5
,,,iam_workforce_pool_provider,26
